FEW SHOT FULL FINE TUNING

training dataset size: 236
mean: tensor([0.7739, 0.7576, 0.7179])
std: tensor([0.2972, 0.2968, 0.3353])

lr=0.003 e=1: train acc 0.8783068656921387 | val acc 0.5106382966041565
lr=0.003 e=2: train acc 0.9682539105415344 | val acc 0.6595744490623474
lr=0.003 e=3: train acc 0.9682539105415344 | val acc 0.7234042286872864
lr=0.003 e=4: train acc 0.9999999403953552 | val acc 0.7234042286872864
lr=0.003 e=5: train acc 0.9999999403953552 | val acc 0.7659574151039124
lr=0.003 e=6: train acc 0.9947089552879333 | val acc 0.7234042286872864
lr=0.003 e=7: train acc 0.9999999403953552 | val acc 0.7446808218955994
lr=0.003 e=8: train acc 0.9999999403953552 | val acc 0.7234042286872864
lr=0.003 e=9: train acc 0.9999999403953552 | val acc 0.7446808218955994
lr=0.003 e=10: train acc 0.9999999403953552 | val acc 0.7872340083122253
lr=0.003 e=11: train acc 0.9999999403953552 | val acc 0.8297871947288513
lr=0.003 e=12: train acc 0.9999999403953552 | val acc 0.8510637879371643
lr=0.003 e=13: train acc 0.9999999403953552 | val acc 0.8085106015205383
lr=0.003 e=14: train acc 0.9999999403953552 | val acc 0.8510637879371643
lr=0.003 e=15: train acc 0.9999999403953552 | val acc 0.8085106015205383
lr=0.003 e=16: train acc 0.9999999403953552 | val acc 0.8510637879371643
lr=0.003 e=17: train acc 0.9999999403953552 | val acc 0.7446808218955994
lr=0.003 e=18: train acc 0.9999999403953552 | val acc 0.8510637879371643
lr=0.003 e=19: train acc 0.9999999403953552 | val acc 0.8085106015205383
lr=0.003 e=20: train acc 0.9999999403953552 | val acc 0.7659574151039124
lr=0.003 e=21: train acc 0.9999999403953552 | val acc 0.8297871947288513
lr=0.003 e=22: train acc 0.9999999403953552 | val acc 0.8510637879371643
lr=0.003 e=23: train acc 0.9999999403953552 | val acc 0.8510637879371643
lr=0.003 e=24: train acc 0.9999999403953552 | val acc 0.8297871947288513
lr=0.003 e=25: train acc 0.9999999403953552 | val acc 0.7872340083122253
lr=0.003 e=26: train acc 0.9999999403953552 | val acc 0.7659574151039124
lr=0.003 e=27: train acc 0.9999999403953552 | val acc 0.7234042286872864
lr=0.003 e=28: train acc 0.9999999403953552 | val acc 0.7872340083122253
lr=0.003 e=29: train acc 0.9999999403953552 | val acc 0.7021276354789734
lr=0.003 e=30: train acc 0.9999999403953552 | val acc 0.7659574151039124
lr=0.003 e=31: train acc 0.9999999403953552 | val acc 0.7872340083122253
lr=0.003 e=32: train acc 0.9999999403953552 | val acc 0.7234042286872864
lr=0.003 e=33: train acc 0.9999999403953552 | val acc 0.8085106015205383
lr=0.003 e=34: train acc 0.9999999403953552 | val acc 0.7872340083122253
lr=0.003 e=35: train acc 0.9999999403953552 | val acc 0.7872340083122253
lr=0.003 e=36: train acc 0.9999999403953552 | val acc 0.8085106015205383
lr=0.003 e=37: train acc 0.9999999403953552 | val acc 0.7872340083122253
lr=0.003 e=38: train acc 0.9999999403953552 | val acc 0.7446808218955994
lr=0.003 e=39: train acc 0.9999999403953552 | val acc 0.8085106015205383
lr=0.003 e=40: train acc 0.9999999403953552 | val acc 0.7659574151039124
lr=0.003 e=41: train acc 0.9999999403953552 | val acc 0.8297871947288513
lr=0.003 e=42: train acc 0.9999999403953552 | val acc 0.7659574151039124
lr=0.003 e=43: train acc 0.9999999403953552 | val acc 0.6595744490623474
lr=0.003 e=44: train acc 0.9999999403953552 | val acc 0.7021276354789734
lr=0.003 e=45: train acc 0.9999999403953552 | val acc 0.7659574151039124
lr=0.003 e=46: train acc 0.9999999403953552 | val acc 0.7872340083122253
lr=0.003 e=47: train acc 0.9999999403953552 | val acc 0.7659574151039124
lr=0.003 e=48: train acc 0.9999999403953552 | val acc 0.7234042286872864
lr=0.003 e=49: train acc 0.9999999403953552 | val acc 0.7021276354789734
lr=0.003 e=50: train acc 0.9999999403953552 | val acc 0.7446808218955994
lr=0.0001 e=0: train acc 0.13756613433361053 | val acc 0.10638297349214554
lr=0.0001 e=1: train acc 0.35978835821151733 | val acc 0.21276594698429108
lr=0.0001 e=2: train acc 0.6402116417884827 | val acc 0.40425530076026917
lr=0.0001 e=3: train acc 0.7989417910575867 | val acc 0.46808508038520813
lr=0.0001 e=4: train acc 0.8835978507995605 | val acc 0.6382978558540344
lr=0.0001 e=5: train acc 0.9206348657608032 | val acc 0.6595744490623474
lr=0.0001 e=6: train acc 0.952380895614624 | val acc 0.6595744490623474
lr=0.0001 e=7: train acc 0.9629629254341125 | val acc 0.6382978558540344
lr=0.0001 e=8: train acc 0.9841269254684448 | val acc 0.6595744490623474
lr=0.0001 e=9: train acc 0.9894179701805115 | val acc 0.6595744490623474
lr=0.0001 e=10: train acc 0.9999999403953552 | val acc 0.6808510422706604
lr=0.0001 e=11: train acc 0.9999999403953552 | val acc 0.7021276354789734
lr=0.0001 e=12: train acc 0.9999999403953552 | val acc 0.6808510422706604
lr=0.0001 e=13: train acc 0.9999999403953552 | val acc 0.6808510422706604
lr=0.0001 e=14: train acc 0.9999999403953552 | val acc 0.7021276354789734
lr=0.0001 e=15: train acc 0.9999999403953552 | val acc 0.6595744490623474
lr=0.0001 e=16: train acc 0.9999999403953552 | val acc 0.7021276354789734
lr=0.0001 e=17: train acc 0.9999999403953552 | val acc 0.6595744490623474
lr=0.0001 e=18: train acc 0.9999999403953552 | val acc 0.6808510422706604
lr=0.0001 e=19: train acc 0.9999999403953552 | val acc 0.6808510422706604
lr=0.0001 e=20: train acc 0.9999999403953552 | val acc 0.6595744490623474
lr=0.0001 e=21: train acc 0.9999999403953552 | val acc 0.6595744490623474
lr=0.0001 e=22: train acc 0.9999999403953552 | val acc 0.6808510422706604
lr=0.0001 e=23: train acc 0.9999999403953552 | val acc 0.6808510422706604
lr=0.0001 e=24: train acc 0.9999999403953552 | val acc 0.7021276354789734
lr=0.0001 e=25: train acc 0.9999999403953552 | val acc 0.6808510422706604
lr=0.0001 e=26: train acc 0.9999999403953552 | val acc 0.6808510422706604
lr=0.0001 e=27: train acc 0.9999999403953552 | val acc 0.6808510422706604
lr=0.0001 e=28: train acc 0.9999999403953552 | val acc 0.7446808218955994
lr=0.0001 e=29: train acc 0.9999999403953552 | val acc 0.6808510422706604
lr=0.0001 e=30: train acc 0.9999999403953552 | val acc 0.6808510422706604
lr=0.0001 e=31: train acc 0.9999999403953552 | val acc 0.7234042286872864
lr=0.0001 e=32: train acc 0.9999999403953552 | val acc 0.6808510422706604
lr=0.0001 e=33: train acc 0.9999999403953552 | val acc 0.7234042286872864
lr=0.0001 e=34: train acc 0.9999999403953552 | val acc 0.7021276354789734
lr=0.0001 e=35: train acc 0.9999999403953552 | val acc 0.7021276354789734
lr=0.0001 e=36: train acc 0.9999999403953552 | val acc 0.7021276354789734
lr=0.0001 e=37: train acc 0.9999999403953552 | val acc 0.7021276354789734
lr=0.0001 e=38: train acc 0.9999999403953552 | val acc 0.7021276354789734
lr=0.0001 e=39: train acc 0.9999999403953552 | val acc 0.6808510422706604
lr=0.0001 e=40: train acc 0.9999999403953552 | val acc 0.7234042286872864
lr=0.0001 e=41: train acc 0.9999999403953552 | val acc 0.7021276354789734
lr=0.0001 e=42: train acc 0.9999999403953552 | val acc 0.7021276354789734
lr=0.0001 e=43: train acc 0.9999999403953552 | val acc 0.7021276354789734
lr=0.0001 e=44: train acc 0.9999999403953552 | val acc 0.6808510422706604
lr=0.0001 e=45: train acc 0.9999999403953552 | val acc 0.7234042286872864
lr=0.0001 e=46: train acc 0.9999999403953552 | val acc 0.7234042286872864
lr=0.0001 e=47: train acc 0.9999999403953552 | val acc 0.7234042286872864
lr=0.0001 e=48: train acc 0.9999999403953552 | val acc 0.7021276354789734
lr=0.0001 e=49: train acc 0.9999999403953552 | val acc 0.7234042286872864
lr=0.0001 e=50: train acc 0.9999999403953552 | val acc 0.7234042286872864

best validation accuracy: 0.8510637879371643
best learning rate: 0.003
best stopping epoch: 12

test accuracy: 0.8121442198753357
test loss: 1363.0032000094652
