SINGLE SHOT FINE TUNING

mean: tensor([0.8116, 0.7858, 0.7380])
std: tensor([0.2730, 0.2863, 0.3374])

lr=0.001 e=42: train acc 0.9537641406059265 | val acc 0.8741093277931213
lr=0.001 e=43: train acc 0.9614701271057129 | val acc 0.8836104869842529
lr=0.001 e=44: train acc 0.9596918225288391 | val acc 0.8764845728874207
lr=0.001 e=45: train acc 0.9626556634902954 | val acc 0.8812351822853088
lr=0.001 e=46: train acc 0.9626556634902954 | val acc 0.8788598775863647
lr=0.001 e=47: train acc 0.9656195044517517 | val acc 0.8788598775863647
lr=0.001 e=48: train acc 0.9644339680671692 | val acc 0.8764845728874207
lr=0.001 e=49: train acc 0.9656195044517517 | val acc 0.8717340230941772
lr=0.001 e=50: train acc 0.9626556634902954 | val acc 0.8693587183952332
lr=0.003 e=0: train acc 0.07053942233324051 | val acc 0.05700712651014328
lr=0.003 e=1: train acc 0.8073503375053406 | val acc 0.7909739017486572
lr=0.003 e=2: train acc 0.8429164290428162 | val acc 0.8004751205444336
lr=0.003 e=3: train acc 0.8933017253875732 | val acc 0.8503563404083252
lr=0.003 e=4: train acc 0.8974511027336121 | val acc 0.8574821949005127
lr=0.003 e=5: train acc 0.8944872617721558 | val acc 0.8289786577224731
lr=0.003 e=6: train acc 0.9211618900299072 | val acc 0.864608108997345
lr=0.003 e=7: train acc 0.8666271567344666 | val acc 0.8028503656387329
lr=0.003 e=8: train acc 0.8826318979263306 | val acc 0.8076009750366211
lr=0.003 e=9: train acc 0.9110848307609558 | val acc 0.8313539624214172
lr=0.003 e=10: train acc 0.9371666312217712 | val acc 0.8598574995994568
lr=0.003 e=11: train acc 0.9430943131446838 | val acc 0.8669834136962891
lr=0.003 e=12: train acc 0.9508002996444702 | val acc 0.864608108997345
lr=0.003 e=13: train acc 0.954949676990509 | val acc 0.8693587183952332
lr=0.003 e=14: train acc 0.9484292268753052 | val acc 0.8669834136962891
lr=0.003 e=15: train acc 0.9152342081069946 | val acc 0.824228048324585
lr=0.003 e=16: train acc 0.9513930678367615 | val acc 0.8574821949005127
lr=0.003 e=17: train acc 0.9561352133750916 | val acc 0.8503563404083252
lr=0.003 e=18: train acc 0.9555424451828003 | val acc 0.8669834136962891
lr=0.003 e=19: train acc 0.9122703671455383 | val acc 0.8028503656387329
lr=0.003 e=20: train acc 0.9590990543365479 | val acc 0.8527316451072693
lr=0.003 e=21: train acc 0.9531713724136353 | val acc 0.845605731010437
lr=0.003 e=22: train acc 0.9691761136054993 | val acc 0.8717340230941772
lr=0.003 e=23: train acc 0.9490219950675964 | val acc 0.8598574995994568
lr=0.003 e=24: train acc 0.9513930678367615 | val acc 0.8812351822853088
lr=0.003 e=25: train acc 0.9745110273361206 | val acc 0.8764845728874207
lr=0.003 e=26: train acc 0.9780676364898682 | val acc 0.8741093277931213
lr=0.003 e=27: train acc 0.9608773589134216 | val acc 0.8693587183952332
lr=0.003 e=28: train acc 0.9721399545669556 | val acc 0.8503563404083252
lr=0.003 e=29: train acc 0.9751037955284119 | val acc 0.8598574995994568
lr=0.003 e=30: train acc 0.9264968037605286 | val acc 0.8337292671203613
lr=0.003 e=31: train acc 0.9810314774513245 | val acc 0.8693587183952332
lr=0.003 e=32: train acc 0.9733254909515381 | val acc 0.8693587183952332
lr=0.003 e=33: train acc 0.9715471863746643 | val acc 0.864608108997345
lr=0.003 e=34: train acc 0.9839953184127808 | val acc 0.8741093277931213
lr=0.003 e=35: train acc 0.9792531728744507 | val acc 0.8693587183952332
lr=0.003 e=36: train acc 0.9863663911819458 | val acc 0.8741093277931213
lr=0.003 e=37: train acc 0.9774748682975769 | val acc 0.8622328042984009
lr=0.003 e=38: train acc 0.984588086605072 | val acc 0.8669834136962891
lr=0.003 e=39: train acc 0.9839953184127808 | val acc 0.8764845728874207
lr=0.003 e=40: train acc 0.9715471863746643 | val acc 0.8503563404083252
lr=0.003 e=41: train acc 0.9816242456436157 | val acc 0.8598574995994568
lr=0.003 e=42: train acc 0.982217013835907 | val acc 0.8764845728874207
lr=0.003 e=43: train acc 0.9745110273361206 | val acc 0.8741093277931213
lr=0.003 e=44: train acc 0.9745110273361206 | val acc 0.8574821949005127
lr=0.003 e=45: train acc 0.9922940731048584 | val acc 0.8693587183952332
lr=0.003 e=46: train acc 0.9917013049125671 | val acc 0.8693587183952332
lr=0.003 e=47: train acc 0.9911085367202759 | val acc 0.8717340230941772
lr=0.003 e=48: train acc 0.9875519275665283 | val acc 0.8717340230941772
lr=0.003 e=49: train acc 0.9851808547973633 | val acc 0.8741093277931213
lr=0.003 e=50: train acc 0.9875519275665283 | val acc 0.864608108997345
lr=0.0001 e=0: train acc 0.17249555885791779 | val acc 0.16627079248428345
lr=0.0001 e=1: train acc 0.35091879963874817 | val acc 0.3705463409423828
lr=0.0001 e=2: train acc 0.4712507724761963 | val acc 0.4845605790615082
lr=0.0001 e=3: train acc 0.5785418152809143 | val acc 0.5771971940994263
lr=0.0001 e=4: train acc 0.621221125125885 | val acc 0.6342043280601501
lr=0.0001 e=5: train acc 0.6727919578552246 | val acc 0.6840855479240417
lr=0.0001 e=6: train acc 0.6994665265083313 | val acc 0.6983373165130615
lr=0.0001 e=7: train acc 0.7202134132385254 | val acc 0.7173396944999695
lr=0.0001 e=8: train acc 0.7457024455070496 | val acc 0.7387173771858215
lr=0.0001 e=9: train acc 0.7522228956222534 | val acc 0.7458432912826538
lr=0.0001 e=10: train acc 0.7634854912757874 | val acc 0.7529691457748413
lr=0.0001 e=11: train acc 0.7777119278907776 | val acc 0.7672209143638611
lr=0.0001 e=12: train acc 0.7871962189674377 | val acc 0.7719715237617493
lr=0.0001 e=13: train acc 0.7889745235443115 | val acc 0.7767221331596375
lr=0.0001 e=14: train acc 0.8008298873901367 | val acc 0.7790974378585815
lr=0.0001 e=15: train acc 0.8079431056976318 | val acc 0.7885985970497131
lr=0.0001 e=16: train acc 0.8162418603897095 | val acc 0.7885985970497131
lr=0.0001 e=17: train acc 0.8203912377357483 | val acc 0.7885985970497131
lr=0.0001 e=18: train acc 0.8269116878509521 | val acc 0.7885985970497131
lr=0.0001 e=19: train acc 0.8263189196586609 | val acc 0.7885985970497131
lr=0.0001 e=20: train acc 0.8393598198890686 | val acc 0.7980998158454895
lr=0.0001 e=21: train acc 0.8381742835044861 | val acc 0.7980998158454895
lr=0.0001 e=22: train acc 0.833432137966156 | val acc 0.8028503656387329
lr=0.0001 e=23: train acc 0.8381742835044861 | val acc 0.7980998158454895
lr=0.0001 e=24: train acc 0.8446947336196899 | val acc 0.805225670337677
lr=0.0001 e=25: train acc 0.835803210735321 | val acc 0.8004751205444336
lr=0.0001 e=26: train acc 0.8441019654273987 | val acc 0.805225670337677
lr=0.0001 e=27: train acc 0.8441019654273987 | val acc 0.805225670337677
lr=0.0001 e=28: train acc 0.8435091972351074 | val acc 0.8076009750366211
lr=0.0001 e=29: train acc 0.8512151837348938 | val acc 0.8147268891334534
lr=0.0001 e=30: train acc 0.8565500974655151 | val acc 0.8123515844345093
lr=0.0001 e=31: train acc 0.8559573292732239 | val acc 0.8123515844345093
lr=0.0001 e=32: train acc 0.8565500974655151 | val acc 0.8147268891334534
lr=0.0001 e=33: train acc 0.8595139384269714 | val acc 0.8337292671203613
lr=0.0001 e=34: train acc 0.8618850111961365 | val acc 0.824228048324585
lr=0.0001 e=35: train acc 0.8624777793884277 | val acc 0.8313539624214172
lr=0.0001 e=36: train acc 0.8636633157730103 | val acc 0.8289786577224731
lr=0.0001 e=37: train acc 0.8618850111961365 | val acc 0.824228048324585
lr=0.0001 e=38: train acc 0.865441620349884 | val acc 0.8289786577224731
lr=0.0001 e=39: train acc 0.865441620349884 | val acc 0.8384798169136047
lr=0.0001 e=40: train acc 0.8743331432342529 | val acc 0.8337292671203613
lr=0.0001 e=41: train acc 0.8713693022727966 | val acc 0.8384798169136047
lr=0.0001 e=42: train acc 0.8713693022727966 | val acc 0.8337292671203613
lr=0.0001 e=43: train acc 0.8660343885421753 | val acc 0.8479810357093811
lr=0.0001 e=44: train acc 0.8725548386573792 | val acc 0.8503563404083252
lr=0.0001 e=45: train acc 0.8772969841957092 | val acc 0.845605731010437
lr=0.0001 e=46: train acc 0.8796680569648743 | val acc 0.8503563404083252
lr=0.0001 e=47: train acc 0.8784825205802917 | val acc 0.8479810357093811
lr=0.0001 e=48: train acc 0.879075288772583 | val acc 0.8479810357093811
lr=0.0001 e=49: train acc 0.8796680569648743 | val acc 0.8503563404083252
lr=0.0001 e=50: train acc 0.8855957388877869 | val acc 0.8503563404083252

best validation accuracy: 0.8907364010810852
best learning rate: 0.001
best stopping epoch: 13

test accuracy: 0.7966101765632629
test loss: 147.53969383239746

