FEW SHOT FROM SCRATCH

mean: tensor([0.7739, 0.7576, 0.7179])
std: tensor([0.2972, 0.2968, 0.3353])

lr=0.0001 e=36: train acc 0.8888888359069824 | val acc 0.5106382966041565
lr=0.0001 e=37: train acc 0.9047618508338928 | val acc 0.4893616735935211
lr=0.0001 e=38: train acc 0.9153438806533813 | val acc 0.40425530076026917
lr=0.0001 e=39: train acc 0.9259259104728699 | val acc 0.4893616735935211
lr=0.0001 e=40: train acc 0.9259259104728699 | val acc 0.46808508038520813
lr=0.0001 e=41: train acc 0.9206348657608032 | val acc 0.44680848717689514
lr=0.0001 e=42: train acc 0.9206348657608032 | val acc 0.5106382966041565
lr=0.0001 e=43: train acc 0.9417989253997803 | val acc 0.46808508038520813
lr=0.0001 e=44: train acc 0.9417989253997803 | val acc 0.4893616735935211
lr=0.0001 e=45: train acc 0.9576719403266907 | val acc 0.4893616735935211
lr=0.0001 e=46: train acc 0.9576719403266907 | val acc 0.5106382966041565
lr=0.0001 e=47: train acc 0.9735449552536011 | val acc 0.5319148898124695
lr=0.0001 e=48: train acc 0.9629629254341125 | val acc 0.44680848717689514
lr=0.0001 e=49: train acc 0.9576719403266907 | val acc 0.4893616735935211
lr=0.0001 e=50: train acc 0.9682539105415344 | val acc 0.4893616735935211

best validation accuracy: 0.5744680762290955
best learning rate: 0.003
best stopping epoch: 16

test accuracy: 0.4938330054283142
test loss: 3617.7812423706055
